STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Data Item,REGIONTYPE,Region Type,ASGS_2021,Region,FREQUENCY,Frequency,TIME_PERIOD,Time Period,OBS_VALUE,Observation Value,UNIT_MEASURE,Unit of Measure,UNIT_MULT,Unit of Multiplier,OBS_STATUS,Observation Status,OBS_COMMENT,Observation Comment
DATAFLOW,ABS:ABS_REGIONAL_ASGS2021(1.3.0),"Data by region 2011-2024, by Main Structure and GCCSA (ASGS Edition 3 (2021 – 2026))",I,ERP_P_20,Estimated resident population: Persons (no.),SA3,Statistical Area Level 3,10201,Gosford,A,Annual,2022,,178868,,PSNS,Persons,,,,,,
DATAFLOW,ABS:ABS_REGIONAL_ASGS2021(1.3.0),"Data by region 2011-2024, by Main Structure and GCCSA (ASGS Edition 3 (2021 – 2026))",I,ERP_P_20,Estimated resident population: Persons (no.),SA3,Statistical Area Level 3,10202,Wyong,A,Annual,2022,,170290,,PSNS,Persons,,,,,,
DATAFLOW,ABS:ABS_REGIONAL_ASGS2021(1.3.0),"Data by region 2011-2024, by Main Structure and GCCSA (ASGS Edition 3 (2021 – 2026))",I,ERP_P_20,Estimated resident population: Persons (no.),SA3,Statistical Area Level 3,11501,Baulkham Hills,A,Annual,2022,,155374,,PSNS,Persons,,,,,,
DATAFLOW,ABS:ABS_REGIONAL_ASGS2021(1.3.0),"Data by region 2011-2024, by Main Structure and GCCSA (ASGS Edition 3 (2021 – 2026))",I,ERP_P_20,Estimated resident population: Persons (no.),SA3,Statistical Area Level 3,11502,Dural - Wisemans Ferry,A,Annual,2022,,28008,,PSNS,Persons,,,,,,
DATAFLOW,ABS:ABS_REGIONAL_ASGS2021(1.3.0),"Data by region 2011-2024, by Main Structure and GCCSA (ASGS Edition 3 (2021 – 2026))",I,ERP_P_20,Estimated resident population: Persons (no.),SA3,Statistical Area Level 3,11503,Hawkesbury,A,Annual,2022,,25130,,PSNS,Persons,,,,,,
DATAFLOW,ABS:ABS_REGIONAL_ASGS2021(1.3.0),"Data by region 2011-2024, by Main Structure and GCCSA (ASGS Edition 3 (2021 – 2026))",I,ERP_P_20,Estimated resident population: Persons (no.),SA3,Statistical Area Level 3,11504,Rouse Hill - McGraths Hill,A,Annual,2022,,62992,,PSNS,Persons,,,,,,
DATAFLOW,ABS:ABS_REGIONAL_ASGS2021(1.3.0),"Data by region 2011-2024, by Main Structure and GCCSA (ASGS Edition 3 (2021 – 2026))",I,ERP_P_20,Estimated resident population: Persons (no.),SA3,Statistical Area Level 3,11601,Blacktown,A,Annual,2022,,143628,,PSNS,Persons,,,,,,
DATAFLOW,ABS:ABS_REGIONAL_ASGS2021(1.3.0),"Data by region 2011-2024, by Main Structure and GCCSA (ASGS Edition 3 (2021 – 2026))",I,ERP_P_20,Estimated resident population: Persons (no.),SA3,Statistical Area Level 3,11602,Blacktown - North,A,Annual,2022,,155305,,PSNS,Persons,,,,,,
DATAFLOW,ABS:ABS_REGIONAL_ASGS2021(1.3.0),"Data by region 2011-2024, by Main Structure and GCCSA (ASGS Edition 3 (2021 – 2026))",I,ERP_P_20,Estimated resident population: Persons (no.),SA3,Statistical Area Level 3,11603,Mount Druitt,A,Annual,2022,,116243,,PSNS,Persons,,,,,,
DATAFLOW,ABS:ABS_REGIONAL_ASGS2021(1.3.0),"Data by region 2011-2024, by Main Structure and GCCSA (ASGS Edition 3 (2021 – 2026))",I,ERP_P_20,Estimated resident population: Persons (no.),SA3,Statistical Area Level 3,11701,Botany,A,Annual,2022,,60892,,PSNS,Persons,,,,,,
