OBJECTID,COUNTYNBR,ENTITYNBR,ENTITYYR,NAME,FIPS,STATEPLANE,POP_LASTCENSUS,POP_CURRESTIMATE,GlobalID,FIPS_STR,COLOR4,Shape__Area,Shape__Length
1,03,2010031010,2010,CACHE,5,North,133154,140173,ad3015be-b3c9-4316-b8dc-03afbb56b443,49005,2,5456779633.14063,388684.773484373
2,07,2010071010,2010,DUCHESNE,13,Central,19596,20161,7f6252b7-137f-4f7e-a19a-03c702111509,49013,4,14489452124.0625,517976.270842329
3,06,2010061010,2010,DAVIS,11,North,362679,369948,214e29a1-cc25-4867-9148-2817db623088,49011,3,2890084282.88281,279318.04271578
4,14,2010141010,2010,MILLARD,27,Central,12975,13330,bc91c742-7508-4118-8469-297719e423cb,49027,3,29421994253.4531,742424.559718385
5,26,2010261010,2010,WASATCH,51,Central,34788,36619,3d0c5c1e-2650-458e-b322-2b86aa473441,49051,2,5396133030.79688,436612.959290838
6,02,2010021010,2010,BOX ELDER,3,North,57666,61498,82f842f7-fce7-402b-9144-34f50fcca4e5,49003,4,31117942507.6641,760510.779362553
7,29,2010291010,2010,WEBER,57,North,262223,269561,1757a80b-1895-4975-81da-3ad2ebba64c9,49057,1,3027943119.82422,364426.795650978
8,12,2010121010,2010,JUAB,23,Central,11786,12567,fe19c8aa-c706-4a81-9eb1-3c608ca317c3,49023,4,14921037893.4961,814430.339379517
9,20,2010201010,2010,SANPETE,39,Central,28437,29724,02c0c074-657f-44ae-a886-44adb97263bd,49039,2,6953841342.44922,411582.144223426
10,27,2010271010,2010,WASHINGTON,53,South,180279,197680,83a50666-0cf4-475e-8766-4b034a67f5cb,49053,1,9961341186.96094,436638.751231446
11,10,2010101010,2010,GRAND,19,Central,9669,9769,a79ec949-f26e-48ce-bc27-6127326ed242,49019,1,15815950224.3594,664284.369007207
12,17,2010171010,2010,RICH,33,North,2510,2628,1c58bbcc-7842-4d64-948e-67c4eca89d69,49033,3,5040496227.48047,401165.397527501
13,04,2010041010,2010,CARBON,7,Central,20412,20571,7b674a82-e057-4f48-926d-6a7d6e989d39,49007,1,6497029189.57422,432778.382110463
14,05,2010051010,2010,DAGGETT,9,North,935,1014,9fe33fb1-70e9-4c08-b56d-6bf83a07c578,49009,3,3262293232.90625,359084.759264127
15,01,2010011010,2010,BEAVER,1,South,7072,7327,04ada80e-57cf-40bb-8c5c-6fded3d82e74,49001,4,10904974576.7461,500867.819867445
16,21,2010211010,2010,SEVIER,41,Central,21522,22069,806592eb-b101-4eea-9288-7535915dd7e7,49041,1,8180125954.77344,432501.49716443
17,09,2010091010,2010,GARFIELD,17,South,5083,5281,bc231d40-6f41-45b1-b85d-8182b762cb64,49017,1,21676747382.8906,796713.772040218
18,23,2010231010,2010,TOOELE,45,Central,72698,79934,0dd369cc-45b0-46c8-aaac-86bfe2107525,49045,2,32623387074.0156,755341.057792796
19,22,2010221010,2010,SUMMIT,43,North,42357,43036,2752f3a1-bd80-4443-aa69-874839c9c164,49043,1,8531028775.06641,631934.486749397
20,16,2010161010,2010,PIUTE,31,South,1438,1487,d6b3a246-ecfb-42bf-96aa-970553380419,49031,2,3229970431.00781,288348.432179421
21,24,2010241010,2010,UINTAH,47,Central,35620,37141,be7e96a8-b47e-40ac-8018-9ebd549341b8,49047,2,19978331893.2188,708164.258734653
22,11,2010111010,2010,IRON,21,South,57289,62429,2aca2eb9-31b5-4d6a-a858-a0f6b16c64e2,49021,3,13736956434.5586,549663.088074671
23,08,2010081010,2010,EMERY,15,Central,9825,10099,bebbe5d3-9484-4d00-bdd6-a4dc31417b95,49015,3,19204634136.6758,792095.753933066
24,28,2010281010,2010,WAYNE,55,South,2486,2645,6dbb5842-2fdb-4caa-a08a-aeb8cdc70090,49055,4,10397020494.0508,570114.628929701
25,19,2006191010,2006,SAN JUAN,37,South,14518,14359,ec858eac-d7e7-4748-b7a5-b2b744668178,49037,3,32816727398.3203,1066353.49015718
26,15,2010151010,2010,MORGAN,29,North,12295,12832,5e84f18c-7544-4eb4-9c3d-bdcfdd24e289,49029,2,2788015916.76172,361800.787162357
27,13,2010131010,2010,KANE,25,South,7667,8227,a250c849-8914-4e00-a80f-c1b45cd8f0a7,49025,4,16834885940.1641,703199.867252895
28,18,2010181010,2010,SALT LAKE,35,Central,1185238,1186257,b31fdc39-6c17-40db-b45c-e0df37a0573f,49035,4,3630811423.16016,307090.206549912
29,25,2010251010,2010,UTAH,49,Central,659399,702434,8df99710-dcb1-4c52-8ead-e9555c83618f,49049,3,9499993883.51563,629812.249712573
