DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_08_10(1.0),10/04/25 11:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2000,2120,,
ESTAT:SDG_08_10(1.0),10/04/25 11:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2001,2330,,
ESTAT:SDG_08_10(1.0),10/04/25 11:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2002,2440,,
ESTAT:SDG_08_10(1.0),10/04/25 11:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2003,2580,,
ESTAT:SDG_08_10(1.0),10/04/25 11:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2004,2730,,
ESTAT:SDG_08_10(1.0),10/04/25 11:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2005,2880,,
ESTAT:SDG_08_10(1.0),10/04/25 11:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2006,3080,,
ESTAT:SDG_08_10(1.0),10/04/25 11:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2007,3300,,
ESTAT:SDG_08_10(1.0),10/04/25 11:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2008,3550,,
ESTAT:SDG_08_10(1.0),10/04/25 11:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2009,3680,,
ESTAT:SDG_08_10(1.0),10/04/25 11:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2010,3800,,
ESTAT:SDG_08_10(1.0),10/04/25 11:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2011,3910,,
ESTAT:SDG_08_10(1.0),10/04/25 11:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2012,3950,,
ESTAT:SDG_08_10(1.0),10/04/25 11:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2013,4030,,
ESTAT:SDG_08_10(1.0),10/04/25 11:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2014,4130,,
ESTAT:SDG_08_10(1.0),10/04/25 11:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2015,4230,,
ESTAT:SDG_08_10(1.0),10/04/25 11:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2016,4400,,
ESTAT:SDG_08_10(1.0),10/04/25 11:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2017,4550,,
ESTAT:SDG_08_10(1.0),10/04/25 11:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2018,4730,,
