DATAFLOW,LAST UPDATE,freq,na_item,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Albania,2022-Q1,4258.8,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Albania,2022-Q2,4353.8,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Albania,2022-Q3,4618.1,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Albania,2022-Q4,4786.5,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Albania,2023-Q1,4938.2,p,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Albania,2023-Q2,5271.2,p,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Albania,2023-Q3,5662.0,p,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Albania,2023-Q4,5893.4,p,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Albania,2024-Q1,5978.2,p,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Albania,2024-Q2,6217.9,p,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Albania,2024-Q3,6359.8,p,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Albania,2024-Q4,6527.8,p,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Austria,2022-Q1,106239.1,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Austria,2022-Q2,111607.6,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Austria,2022-Q3,114674.1,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Austria,2022-Q4,115670.9,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Austria,2023-Q1,118101.7,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Austria,2023-Q2,118564.1,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Austria,2023-Q3,118497.2,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Austria,2023-Q4,118688.9,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Austria,2024-Q1,119434.5,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Austria,2024-Q2,120350.4,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Austria,2024-Q3,120755.1,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Austria,2024-Q4,121199.9,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Belgium,2022-Q1,135227.0,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Belgium,2022-Q2,139603.3,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Belgium,2022-Q3,143071.8,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Belgium,2022-Q4,145641.5,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Belgium,2023-Q1,148424.6,p,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Belgium,2023-Q2,148537.8,p,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Belgium,2023-Q3,149442.1,p,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Belgium,2023-Q4,149916.0,p,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Belgium,2024-Q1,151532.0,p,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Belgium,2024-Q2,152992.0,p,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Belgium,2024-Q3,154525.3,p,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Belgium,2024-Q4,155436.7,p,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Bulgaria,2022-Q1,19895.8,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Bulgaria,2022-Q2,20848.7,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Bulgaria,2022-Q3,21934.8,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Bulgaria,2022-Q4,23038.7,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Bulgaria,2023-Q1,23371.6,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Bulgaria,2023-Q2,23198.9,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Bulgaria,2023-Q3,23518.0,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Bulgaria,2023-Q4,24601.7,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Bulgaria,2024-Q1,25248.9,p,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Bulgaria,2024-Q2,25717.0,p,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Bulgaria,2024-Q3,26046.8,p,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Bulgaria,2024-Q4,26649.4,p,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Switzerland,2022-Q1,187076.5,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Switzerland,2022-Q2,192889.5,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Switzerland,2022-Q3,204650.5,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Switzerland,2022-Q4,203307.8,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Switzerland,2023-Q1,202438.1,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Switzerland,2023-Q2,204720.6,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Switzerland,2023-Q3,209056.6,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Switzerland,2023-Q4,211399.7,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Switzerland,2024-Q1,215554.0,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Switzerland,2024-Q2,211361.0,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Switzerland,2024-Q3,217467.2,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Switzerland,2024-Q4,221506.6,,
ESTAT:TEINA010(1.0),10/04/25 11:00:00,Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Cyprus,2022-Q1,7121.9,,
