DATAFLOW,LAST UPDATE,freq,citizen,agedef,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Austria,2012,51812,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Austria,2013,54071,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Austria,2014,53491,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Austria,2015,56689,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Austria,2016,64428,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Austria,2017,66144,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Austria,2018,67212,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Austria,2019,68280,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Austria,2020,62581,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Austria,2021,67299,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Austria,2022,74271,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Austria,2023,74036,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2012,93600,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2013,102657,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2014,94573,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2015,89794,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2016,92471,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2017,89690,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2018,88935,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2019,102936,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2020,76562,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2021,87272,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2022,84627,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2023,96071,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2012,16615,bp,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2013,19678,p,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2014,28727,p,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2015,29470,p,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2016,30570,p,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2017,31586,p,
