DATAFLOW,LAST UPDATE,freq,unit,citizen,sex,age,asyl_app,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Austria,2024-04,2250,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Austria,2024-05,2470,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Austria,2024-06,1830,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Austria,2024-07,1765,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Austria,2024-08,1700,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Austria,2024-09,1865,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Austria,2024-10,2455,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Austria,2024-11,1835,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Austria,2024-12,1825,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Austria,2025-01,1915,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Belgium,2024-04,3090,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Belgium,2024-05,3350,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Belgium,2024-06,2735,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Belgium,2024-07,3510,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Belgium,2024-08,3335,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Belgium,2024-09,3685,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Belgium,2024-10,4380,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Belgium,2024-11,3275,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Belgium,2024-12,3555,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Belgium,2025-01,3520,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Belgium,2025-02,3060,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Bulgaria,2024-04,735,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Bulgaria,2024-05,790,,
