DATAFLOW,LAST UPDATE,freq,citizen,sex,unit,age,asyl_app,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Austria,2013,17500,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Austria,2014,28035,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Austria,2015,88160,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Austria,2016,42255,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Austria,2017,24715,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Austria,2018,13710,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Austria,2019,12860,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Austria,2020,14760,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Austria,2021,39900,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Austria,2022,112245,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Austria,2023,59210,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Austria,2024,24915,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Belgium,2013,21030,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Belgium,2014,22710,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Belgium,2015,44665,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Belgium,2016,18280,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Belgium,2017,18340,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Belgium,2018,22530,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Belgium,2019,27460,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Belgium,2020,16710,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Belgium,2021,24970,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Belgium,2022,36740,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Belgium,2023,35160,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Belgium,2024,39510,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Bulgaria,2013,7145,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Bulgaria,2014,11080,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Bulgaria,2015,20390,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Bulgaria,2016,19420,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Bulgaria,2017,3695,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Bulgaria,2018,2535,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Bulgaria,2019,2150,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Bulgaria,2020,3525,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Bulgaria,2021,11000,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Bulgaria,2022,20390,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Bulgaria,2023,22510,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Bulgaria,2024,12260,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Switzerland,2013,21305,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Switzerland,2014,23560,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Switzerland,2015,39445,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Switzerland,2016,27140,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Switzerland,2017,18015,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Switzerland,2018,15160,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Switzerland,2019,14195,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Switzerland,2020,10990,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Switzerland,2021,14850,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Switzerland,2022,24440,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Switzerland,2023,30110,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Switzerland,2024,27615,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Cyprus,2013,1255,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Cyprus,2014,1745,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Cyprus,2015,2265,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Cyprus,2016,2940,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Cyprus,2017,4600,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Cyprus,2018,7765,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Cyprus,2019,13650,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Cyprus,2020,7495,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Cyprus,2021,13670,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Cyprus,2022,22190,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Cyprus,2023,11910,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Cyprus,2024,9185,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Czechia,2013,695,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Czechia,2014,1145,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Czechia,2015,1515,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Czechia,2016,1475,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Czechia,2017,1445,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Czechia,2018,1690,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Czechia,2019,1915,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Czechia,2020,1160,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Czechia,2021,1405,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Czechia,2022,1685,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Czechia,2023,1405,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Czechia,2024,1355,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Germany,2013,126705,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Germany,2014,202645,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Germany,2015,476510,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Germany,2016,745160,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Germany,2017,222565,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Germany,2018,184180,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Germany,2019,165615,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Germany,2020,121955,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Germany,2021,190545,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Germany,2022,243835,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Germany,2023,351510,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Germany,2024,250550,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Denmark,2013,7170,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Denmark,2014,14680,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Denmark,2015,20935,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Denmark,2016,6180,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Denmark,2017,3220,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Denmark,2018,3570,,
